Symbol,Company
3LZN.MI,GraniteShares 3x Long Amazon Daily ETP
3NGL.MI,WisdomTree Natural Gas 3x Daily Leveraged
3NGS.MI,WisdomTree Natural Gas 3x Daily Short
3OIL.MI,WisdomTree WTI Crude Oil 3x Daily Leveraged
3OIS.MI,WisdomTree WTI Crude Oil 3x Daily Short
3SAA.MI,GraniteShares 3x Short Alibaba Daily ETP
3SAL.MI,GraniteShares 3x Short Alphabet Daily ETP
3SAM.MI,GraniteShares 3x Short AMD Daily ETP
3SAP.MI,GraniteShares 3x Short Apple Daily ETP
3SCR.MI,GraniteShares 3x Short UniCredit Daily ETP
3SEN.MI,GraniteShares 3x Short Eni Daily ETP
3SFB.MI,GraniteShares 3x Short Facebook Daily ETP
3SIL.MI,WisdomTree Silver 3x Daily Leveraged
3SIS.MI,WisdomTree Silver 3x Daily Short
3SMS.MI,GraniteShares 3x Short Microsoft Daily ETP
3SNF.MI,GraniteShares 3x Short Netflix Daily ETP
3SNL.MI,GraniteShares 3x Short Enel Daily ETP
3SNV.MI,GraniteShares 3x Short NVIDIA Daily ETP
3SPO.MI,GraniteShares 3x Short Spotify Daily ETP
3SSP.MI,GraniteShares 3x Short Intesa Sanpaolo Daily ETP
3STS.MI,GraniteShares 3x Short Tesla Daily ETP
3SZN.MI,GraniteShares 3x Short Amazon Daily ETP
3TYL.MI,WisdomTree US Treasuries 10Y 3x Daily Leveraged
3TYS.MI,WisdomTree US Treasuries 10Y 3x Daily Short
3USL.MI,WisdomTree S&P 500 3x Daily Leveraged
3USS.MI,WisdomTree S&P 500 3x Daily Short
